Name,Longitude,Latitude,RAG,popuptext
Leeds and York Partnership NHS Foundation Trust,-1.426439,53.796822,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Leeds and York Partnership NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 92.2%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 911</span><br/>
      <span>DToC days (Social Care): 40</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NA%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NA%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NA%</span>
      </div>"
Papworth Hospital NHS Foundation Trust,-0.115586,52.248642,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Papworth Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 74.9%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 24</span><br/>
      <span>DToC days (Social Care): 0</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 11.4%</span>
      </div>"
North West Anglia NHS Foundation Trust,-0.279386,52.583921,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>North West Anglia NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 19.8%</span><br/>
      <span>Breaching 4 hour target (Type 1): 20.8%</span><br/><br/>

      <span>Beds occupied: 79.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 1549</span><br/>
      <span>DToC days (Social Care): 389</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.4%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 6.8%</span>
      </div>"
James Paget University Hospitals NHS Foundation Trust,1.71798,52.561672,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>James Paget University Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 12.8%</span><br/>
      <span>Breaching 4 hour target (Type 1): 13.5%</span><br/><br/>

      <span>Beds occupied: 80.7%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 118</span><br/>
      <span>DToC days (Social Care): 558</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 7.3%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 9.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 8.4%</span>
      </div>"
Ipswich Hospital NHS Trust,1.197915,52.056849,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Ipswich Hospital NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: NA%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): NA</span><br/>
      <span>DToC days (Social Care): NA</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NA%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NA%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NA%</span>
      </div>"
West Suffolk NHS Foundation Trust,0.709176,52.231662,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>West Suffolk NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 8.6%</span><br/>
      <span>Breaching 4 hour target (Type 1): 9.1%</span><br/><br/>

      <span>Beds occupied: 78.2%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 207</span><br/>
      <span>DToC days (Social Care): 56</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 5.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 6%</span>
      </div>"
Cambridge University Hospitals NHS Foundation Trust,0.139114,52.173741,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Cambridge University Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14%</span><br/>
      <span>Breaching 4 hour target (Type 1): 18.1%</span><br/><br/>

      <span>Beds occupied: 91.4%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 1233</span><br/>
      <span>DToC days (Social Care): 515</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 5.9%</span>
      </div>"
Somerset Partnership NHS Foundation Trust,-2.995248,51.147996,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Somerset Partnership NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 0.9%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 84.2%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 268</span><br/>
      <span>DToC days (Social Care): 131</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NaN%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 21.1%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 17.3%</span>
      </div>"
Royal Devon and Exeter NHS Foundation Trust,-3.50668,50.716703,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Royal Devon and Exeter NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 9.5%</span><br/>
      <span>Breaching 4 hour target (Type 1): 14.4%</span><br/><br/>

      <span>Beds occupied: 84.2%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 1784</span><br/>
      <span>DToC days (Social Care): 246</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.4%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.2%</span>
      </div>"
Nottinghamshire Healthcare NHS Foundation Trust,-1.12643,52.979272,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Nottinghamshire Healthcare NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 89.6%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 461</span><br/>
      <span>DToC days (Social Care): 58</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 0%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 0%</span>
      </div>"
University Hospital Southampton NHS Foundation Trust,-1.435104,50.933019,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>University Hospital Southampton NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 9.3%</span><br/>
      <span>Breaching 4 hour target (Type 1): 11.8%</span><br/><br/>

      <span>Beds occupied: 86.7%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 1151</span><br/>
      <span>DToC days (Social Care): 687</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.2%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 10%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 10.1%</span>
      </div>"
Sheffield Teaching Hospitals NHS Foundation Trust,-1.455965,53.409821,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Sheffield Teaching Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14.9%</span><br/>
      <span>Breaching 4 hour target (Type 1): 29.8%</span><br/><br/>

      <span>Beds occupied: 91.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 917</span><br/>
      <span>DToC days (Social Care): 629</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.3%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 8%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.8%</span>
      </div>"
Portsmouth Hospitals NHS Trust,-1.069932,50.850297,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Portsmouth Hospitals NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 23.2%</span><br/>
      <span>Breaching 4 hour target (Type 1): 28.6%</span><br/><br/>

      <span>Beds occupied: 96.2%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 710</span><br/>
      <span>DToC days (Social Care): 188</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.4%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 6.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 6.8%</span>
      </div>"
Royal Berkshire NHS Foundation Trust,-0.95933,51.451022,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Royal Berkshire NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 13.9%</span><br/>
      <span>Breaching 4 hour target (Type 1): 16.8%</span><br/><br/>

      <span>Beds occupied: 79.4%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 418</span><br/>
      <span>DToC days (Social Care): 153</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.6%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.8%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.9%</span>
      </div>"
Guy's and St Thomas' NHS Foundation Trust,-0.089539,51.503286,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Guy's and St Thomas' NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14.8%</span><br/>
      <span>Breaching 4 hour target (Type 1): 18.4%</span><br/><br/>

      <span>Beds occupied: 79.9%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 584</span><br/>
      <span>DToC days (Social Care): 113</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3.4%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 13.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 13.8%</span>
      </div>"
Lewisham and Greenwich NHS Trust,-0.017051,51.454329,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Lewisham and Greenwich NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 13.7%</span><br/>
      <span>Breaching 4 hour target (Type 1): 22.2%</span><br/><br/>

      <span>Beds occupied: 93.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 4</span><br/>
      <span>DToC days (Social Care): 29</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.7%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 19.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 17.3%</span>
      </div>"
Croydon Health Services NHS Trust,-0.108758,51.389128,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Croydon Health Services NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 19.4%</span><br/>
      <span>Breaching 4 hour target (Type 1): 48.4%</span><br/><br/>

      <span>Beds occupied: 91.1%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 208</span><br/>
      <span>DToC days (Social Care): 289</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 6%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 10.4%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 9.1%</span>
      </div>"
St George's University Hospitals NHS Foundation Trust,-0.175694,51.426682,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>St George's University Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14.4%</span><br/>
      <span>Breaching 4 hour target (Type 1): 15.9%</span><br/><br/>

      <span>Beds occupied: 89.5%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 229</span><br/>
      <span>DToC days (Social Care): 56</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.3%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 12.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 11.7%</span>
      </div>"
Cornwall Partnership NHS Foundation Trust,-4.772363,50.327877,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Cornwall Partnership NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 95.5%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 612</span><br/>
      <span>DToC days (Social Care): 685</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NaN%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 2%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NaN%</span>
      </div>"
South Warwickshire NHS Foundation Trust,-1.583203,52.289965,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>South Warwickshire NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 8.1%</span><br/>
      <span>Breaching 4 hour target (Type 1): 9%</span><br/><br/>

      <span>Beds occupied: 85.5%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 264</span><br/>
      <span>DToC days (Social Care): 251</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.7%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 6.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 8.2%</span>
      </div>"
Mid Staffordshire NHS Foundation Trust,-2.097785,52.811291,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Mid Staffordshire NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: NA%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): NA</span><br/>
      <span>DToC days (Social Care): NA</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NA%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NA%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NA%</span>
      </div>"
University Hospitals of North Midlands NHS Trust,-2.212839,53.002891,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>University Hospitals of North Midlands NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 18.6%</span><br/>
      <span>Breaching 4 hour target (Type 1): 26.9%</span><br/><br/>

      <span>Beds occupied: 88.9%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 1855</span><br/>
      <span>DToC days (Social Care): 52</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3.9%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 9.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 9.3%</span>
      </div>"
Burton Hospitals NHS Foundation Trust,-1.656384,52.817775,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Burton Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: NA%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): NA</span><br/>
      <span>DToC days (Social Care): NA</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NA%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NA%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NA%</span>
      </div>"
Northern Lincolnshire and Goole NHS Foundation Trust,-0.096229,53.544858,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Northern Lincolnshire and Goole NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14.9%</span><br/>
      <span>Breaching 4 hour target (Type 1): 14.9%</span><br/><br/>

      <span>Beds occupied: 83.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 625</span><br/>
      <span>DToC days (Social Care): 36</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 9.1%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.6%</span>
      </div>"
East Cheshire NHS Trust,-2.141074,53.262321,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>East Cheshire NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 25.5%</span><br/>
      <span>Breaching 4 hour target (Type 1): 26.2%</span><br/><br/>

      <span>Beds occupied: 86.9%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 328</span><br/>
      <span>DToC days (Social Care): 131</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.9%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 5.7%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 5.6%</span>
      </div>"
Countess of Chester Hospital NHS Foundation Trust,-2.897884,53.2088,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Countess of Chester Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 21.2%</span><br/>
      <span>Breaching 4 hour target (Type 1): 23.4%</span><br/><br/>

      <span>Beds occupied: 91.4%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 266</span><br/>
      <span>DToC days (Social Care): 422</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.4%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 6.4%</span>
      </div>"
Calderstones Partnership NHS Foundation Trust,-2.423673,53.829706,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Calderstones Partnership NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: NA%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): NA</span><br/>
      <span>DToC days (Social Care): NA</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NA%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NA%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NA%</span>
      </div>"
King's College Hospital NHS Foundation Trust,-0.093916,51.468077,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>King's College Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 28.3%</span><br/>
      <span>Breaching 4 hour target (Type 1): 38.2%</span><br/><br/>

      <span>Beds occupied: 94.6%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 195</span><br/>
      <span>DToC days (Social Care): 106</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 15.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 12.9%</span>
      </div>"
Sherwood Forest Hospitals NHS Foundation Trust,-1.233579,53.134573,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Sherwood Forest Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 5.1%</span><br/>
      <span>Breaching 4 hour target (Type 1): 7.1%</span><br/><br/>

      <span>Beds occupied: 82.4%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 799</span><br/>
      <span>DToC days (Social Care): 12</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3.3%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.4%</span>
      </div>"
Plymouth Hospitals NHS Trust,-4.113684,50.41672,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Plymouth Hospitals NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 15.9%</span><br/>
      <span>Breaching 4 hour target (Type 1): 22.6%</span><br/><br/>

      <span>Beds occupied: 90.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 422</span><br/>
      <span>DToC days (Social Care): 153</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.9%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 5.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 5.5%</span>
      </div>"
University Hospitals Coventry and Warwickshire NHS Trust,-1.438403,52.421211,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>University Hospitals Coventry and Warwickshire NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14.3%</span><br/>
      <span>Breaching 4 hour target (Type 1): 22.3%</span><br/><br/>

      <span>Beds occupied: 93.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 981</span><br/>
      <span>DToC days (Social Care): 157</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3.4%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 8.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 10.4%</span>
      </div>"
The Whittington Health NHS Trust,-0.138637,51.566311,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>The Whittington Health NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14.5%</span><br/>
      <span>Breaching 4 hour target (Type 1): 14.5%</span><br/><br/>

      <span>Beds occupied: 78.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 114</span><br/>
      <span>DToC days (Social Care): 161</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 8.7%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 15.4%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 12.9%</span>
      </div>"
West London Mental Health NHS Trust,-0.349737,51.506667,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>West London Mental Health NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 85.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 347</span><br/>
      <span>DToC days (Social Care): 229</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NaN%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NaN%</span>
      </div>"
